Number,Question,StartTime,EndTime,BasePoints,AdditionalBonusPoints,AdditionalBonusInstructions
Q101,"Amber Turing was hoping for Frothly to be acquired by a potential competitor which fell through, but visited their website to find contact information for their executive team. What is the website domain that she visited?",,,100,,
Q102,Amber found the executive contact information and sent him an email. What image file displayed the executive's contact information? Answer example: /path/image.ext,,,100,,
Q103,What is the CEO's name? Provide the first and last name.,,,100,,
Q104,What is the CEO's email address?,,,100,,
Q105,"After the initial contact with the CEO, Amber contacted another employee at this competitor. What is that employee's email address?",,,100,,
Q106,"After the initial contact with the CEO, Amber contacted another employee at this competitor. What is that employee's email address?",,,100,,
Q107,What is Amber's personal email address?,,,100,,
Q201,What version of TOR Browser did Amber install to obfuscate her web browsing? Answer guidance: Numeric with one or more delimiter.,,,200,,
Q202,What is the public IPv4 address of the server running www.brewertalk[.]com?,,,200,,
Q203,Provide the IP address of the system used to run a web vulnerability scan against www.brewertalk.com.,,,200,,
Q204,The IP address from Q#2 is also being used by a likely different piece of software to attack a URI path. What is the URI path?,,,200,,
Q205,What SQL function is being abused on the URI path from the previous question?,,,200,,
Q206,What was the value of the cookie that Kevin's browser transmitted to the malicious URL as part of an XSS attack? Answer guidance: All digits. Not the cookie name or symbols like an equal sign.,,,200,,
Q207,What brewertalk.com username was maliciously created by a spear phishing attack?,,,200,,
Q301,Mallory's critical PowerPoint presentation on her MacBook gets encrypted by ransomware on August 18. What is the name of this file after it was encrypted?,,,300,,
Q302,There is a Games of Thrones movie file that was encrypted as well. What season and episode is it?,,,300,,
Q303,"Kevin Lagerfield used a USB drive to move malware onto kutekitten, Mallory's personal MacBook. She ran the malware, which obfuscates itself during execution. Provide the vendor name of the USB drive Kevin likely used.",,,300,,
Q304,What programming language is at least part of the malware from the question above written in?,,,300,,
Q305,When was this malware first seen in the wild?,,,300,,
Q306,The malware infecting kutekitten uses dynamic DNS destinations to communicate with two C&C servers shortly after installation. What is the fully-qualified domain name (FQDN) of the first (alphabetically) of these destinations?,,,300,,
Q307,"From the question above, what is the fully-qualified domain name (FQDN) of the second (alphabetically) contacted C&C server?",,,300,,
Q401,A Federal law enforcement agency reports that Taedonggang often spear phishes its victims with zip files that have to be opened with a password. What is the name of the attachment sent to Frothly by a malicious Taedonggang actor?,,,400,,
Q402,What is the password to open the zip file?,,,400,,
Q403,"The Taedonggang APT group encrypts most of their traffic with SSL. What is the ""SSL Issuer"" that they use for the majority of their traffic?",,,400,,
Q404,What unusual file (for an American company) does winsys32.dll cause to be downloaded into the Frothly environment?,,,400,,
Q405,What is the first and last name of the poor innocent sap who was implicated in the metadata of the file that executed PowerShell Empire on the first victim's workstation?,,,400,,
Q406,"To maintain persistence in the Frothly network, Taedonggang APT configured several Scheduled Tasks to beacon back to their C2 server. What single webpage is most contacted by these Scheduled Tasks?",,,400,,
